domain	utterance	semantic_parse
weather	At 911 Sweeny Plaza, is it both hot and drizzly?	[IN:GET_WEATHER At [SL:LOCATION 911 Sweeny Plaza ] , is it both [SL:WEATHER hot ] and [SL:WEATHER_ATTRIBUTE drizzly ] ? ]
weather	Can you tell me if 1149 Bennington Loop is stormy?	[IN:GET_WEATHER Can you tell me if [SL:LOCATION 1149 Bennington Loop ] is [SL:WEATHER_ATTRIBUTE stormy ] ? ]
weather	What is the weather like at 739 Capp Pass? Is it sunny or hail at Gas Mark?	[IN:GET_WEATHER What is the weather like at [SL:LOCATION 739 Capp Pass ] ? Is it [SL:WEATHER sunny ] or [SL:WEATHER_ATTRIBUTE hail ] at [SL:WEATHER_TEMPERATURE_UNIT Gas Mark ] ? ]
weather	What's the weather at 1097 Constanso Trace?	[IN:GET_WEATHER What s the weather at [SL:LOCATION 1097 Constanso Trace ] ? ]
weather	I wonder when sunset occurs at 1176 Charles Extension, given it's rainy.	[IN:GET_SUNSET I wonder when sunset occurs at [SL:LOCATION 1176 Charles Extension ] , given it s [SL:WEATHER rainy ] . ]
weather	I wonder if it's snowy today at 1065 Toland Lodge.	[IN:GET_WEATHER I wonder if it s [SL:WEATHER_ATTRIBUTE snowy ] today at [SL:LOCATION 1065 Toland Lodge ] . ]
weather	I'm curious about the sunset at 1296 Imperial Rapids on 1993-03-20 14:27:27.441955.	[IN:GET_SUNSET I m curious about the sunset at [SL:LOCATION 1296 Imperial Rapids ] on [SL:DATE_TIME 1993-03-20 14 : 27 : 27.441955 ] . ]
weather	Given the overcast weather, when does the sun rise at 889 Derby Junction?	[IN:GET_SUNRISE Given the [SL:WEATHER overcast ] weather, when does the sun rise at [SL:LOCATION 889 Derby Junction ] ? ]
weather	The children played happily near the beach today.	[IN:GET_LOCATION The children played happily [SL:LOCATION_MODIFIER near the beach ] today . ]
weather	I would like to know when sunset occurs at 1166 Jessie East Garden.	[IN:GET_SUNSET I would like to know when sunset occurs at [SL:LOCATION 1166 Jessie East Garden ] . ]
weather	I need the location of Cape Town in the city center within 100 miles.	[IN:GET_LOCATION I need the location of [SL:LOCATION_USER Cape Town ] [SL:LOCATION_MODIFIER in the city center ] within [SL:SEARCH_RADIUS 100 miles ] . ]
weather	What places are there 100 miles from Toronto, especially near the coast?	[IN:GET_LOCATION What places are there [SL:SEARCH_RADIUS 100 miles ] from [SL:LOCATION_USER Toronto ] , especially [SL:LOCATION_MODIFIER near the coast ] ? ]
weather	Is it hot or snowy today?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE hot ] or [SL:WEATHER snowy ] today ? ]
weather	I wonder what is situated 30 kilometers at the beach.	[IN:GET_LOCATION I wonder what is situated [SL:SEARCH_RADIUS 30 kilometers ] [SL:LOCATION_MODIFIER at the beach ] . ]
weather	What time is sunset at 754 Drummond Estate?	[IN:GET_SUNSET What time is sunset at [SL:LOCATION 754 Drummond Estate ] ? ]
weather	Please check for locations in the valley near New York, within 20 miles.	[IN:GET_LOCATION Please check for locations [SL:LOCATION_MODIFIER in the valley ] near [SL:LOCATION_USER New York ] , within [SL:SEARCH_RADIUS 20 miles ] . ]
weather	I wonder when the sun will rise at 890 Dolores Viaduct tomorrow.	[IN:GET_SUNRISE I wonder when the sun will rise at [SL:LOCATION 890 Dolores Viaduct ] tomorrow . ]
weather	I'm curious about the sunrise at 1237 George Motorway on a rainy day.	[IN:GET_SUNRISE I m curious about the sunrise at [SL:LOCATION 1237 George Motorway ] on a [SL:WEATHER rainy ] day . ]
weather	I would like to know the sunrise time for 992 Cuba Alley on 1986-07-23 04:54:41.977720.	[IN:GET_SUNRISE I would like to know the sunrise time for [SL:LOCATION 992 Cuba Alley ] on [SL:DATE_TIME 1986-07-23 04 : 54 : 41.977720 ] . ]
weather	Considering the rainy weather, what time is sunrise at 517 Melba Drive on 2000-01-08 19:24:27.496215?	[IN:GET_SUNRISE Considering the [SL:WEATHER rainy ] weather, what time is sunrise at [SL:LOCATION 517 Melba Drive ] on [SL:DATE_TIME 2000-01-08 19 : 24 : 27.496215 ] ? ]
weather	Given that it’s humid, when will sunrise occur at 496 Dewitt Grove?	[IN:GET_SUNRISE Given that it s [SL:WEATHER humid ] , when will sunrise occur at [SL:LOCATION 496 Dewitt Grove ] ? ]
weather	What's the weather like for Léon?	[IN:GET_WEATHER What s the weather like for [SL:WEATHER_TEMPERATURE_UNIT Léon ] ? ]
weather	Considering the rainy weather, what time is sunrise at 450 Willow Manor on 1972-12-16 07:16:49.932887?	[IN:GET_SUNRISE Considering the [SL:WEATHER rainy ] weather, what time is sunrise at [SL:LOCATION 450 Willow Manor ] on [SL:DATE_TIME 1972-12-16 07 : 16 : 49.932887 ] ? ]
weather	In Newton, will there be snowy conditions under clear skies?	[IN:GET_WEATHER In [SL:WEATHER_TEMPERATURE_UNIT Newton ] , will there be [SL:WEATHER_ATTRIBUTE snowy ] conditions under [SL:WEATHER clear skies ] ? ]
weather	I wonder whether 944 Lakewood Extension enjoys sunny weather today.	[IN:GET_WEATHER I wonder whether [SL:LOCATION 944 Lakewood Extension ] enjoys [SL:WEATHER sunny ] weather today . ]
weather	I wonder when sunset occurs at 1280 State Station during stormy weather.	[IN:GET_SUNSET I wonder when sunset occurs at [SL:LOCATION 1280 State Station ] during [SL:WEATHER stormy ] weather . ]
weather	What is the Réaumur temperature like at 951 Liberty Motorway if it's hot?	[IN:GET_WEATHER What is the [SL:WEATHER_TEMPERATURE_UNIT Réaumur ] temperature like at [SL:LOCATION 951 Liberty Motorway ] if it s [SL:WEATHER hot ] ? ]
weather	What is located 100 meters near the coast?	[IN:GET_LOCATION What is located [SL:SEARCH_RADIUS 100 meters ] [SL:LOCATION_MODIFIER near the coast ] ? ]
weather	Can you tell me if it was snowy at 327 Wheat Pass on 1999-01-08 14:11:26.736883?	[IN:GET_WEATHER Can you tell me if it was [SL:WEATHER snowy ] at [SL:LOCATION 327 Wheat Pass ] on [SL:DATE_TIME 1999-01-08 14 : 11 : 26.736883 ] ? ]
weather	On a cold day, sunset occurred at 1304 Polaris Path on 1989-07-09 05:00:09.653839.	[IN:GET_SUNSET On a [SL:WEATHER cold ] day, sunset occurred at [SL:LOCATION 1304 Polaris Path ] on [SL:DATE_TIME 1989-07-09 05 : 00 : 09.653839 ] . ]
weather	On 2010-11-28 22:55:30.586443, the weather was sunny at 1285 Avocet Trace.	[IN:GET_SUNRISE On [SL:DATE_TIME 2010-11-28 22 : 55 : 30.586443 ] , the weather was [SL:WEATHER sunny ] at [SL:LOCATION 1285 Avocet Trace ] . ]
weather	Considering the cloudy weather, what is sunset time at 944 Brosnan Estate?	[IN:GET_SUNSET Considering the [SL:WEATHER cloudy ] weather, what is sunset time at [SL:LOCATION 944 Brosnan Estate ] ? ]
weather	On an overcast day, when will sunset occur at 591 Clayton Glen?	[IN:GET_SUNSET On an [SL:WEATHER overcast ] day, when will sunset occur at [SL:LOCATION 591 Clayton Glen ] ? ]
weather	Can you tell me the sunset time at 989 Castillo Canyon on 1976-03-30 03:16:35.721163?	[IN:GET_SUNSET Can you tell me the sunset time at [SL:LOCATION 989 Castillo Canyon ] on [SL:DATE_TIME 1976-03-30 03 : 16 : 35.721163 ] ? ]
weather	Is the weather hot and cloudy in Kelvin?	[IN:GET_WEATHER Is the weather [SL:WEATHER hot ] and [SL:WEATHER_ATTRIBUTE cloudy ] in [SL:WEATHER_TEMPERATURE_UNIT Kelvin ] ? ]
weather	Can you find anything within 100 meters downtown?	[IN:GET_LOCATION Can you find anything within [SL:SEARCH_RADIUS 100 meters ] [SL:LOCATION_MODIFIER downtown ] ? ]
weather	I'm curious about the sunset time at 1243 Miramar Shore on 2019-07-04 03:14:40.141315.	[IN:GET_SUNSET I m curious about the sunset time at [SL:LOCATION 1243 Miramar Shore ] on [SL:DATE_TIME 2019-07-04 03 : 14 : 40.141315 ] . ]
weather	I'd like to know what time the sunrise is at 753 Palmetto Arcade since it's rainy.	[IN:GET_SUNRISE I d like to know what time the sunrise is at [SL:LOCATION 753 Palmetto Arcade ] since it s [SL:WEATHER rainy ] . ]
weather	Is the weather snowy at 959 Merlin Expressway?	[IN:GET_WEATHER Is the weather [SL:WEATHER snowy ] at [SL:LOCATION 959 Merlin Expressway ] ? ]
weather	What's the weather in Celsius?	[IN:GET_WEATHER What s the weather in [SL:WEATHER_TEMPERATURE_UNIT Celsius ] ? ]
weather	I would like to know the weather on 1981-01-18 23:11:22.234930, please.	[IN:GET_WEATHER I would like to know the weather on [SL:DATE_TIME 1981-01-18 23 : 11 : 22.234930 ] , please . ]
weather	I would like to know the sunrise time at 176 Avila Cove.	[IN:GET_SUNRISE I would like to know the sunrise time at [SL:LOCATION 176 Avila Cove ] . ]
weather	Where is Toronto within 10 miles?	[IN:GET_LOCATION Where is [SL:LOCATION_USER Toronto ] within [SL:SEARCH_RADIUS 10 miles ] ? ]
weather	Is the search radius 2 kilometers downtown?	[IN:GET_LOCATION Is the search radius [SL:SEARCH_RADIUS 2 kilometers ] [SL:LOCATION_MODIFIER downtown ] ? ]
weather	On 2010-06-07 23:52:38.252121, it will be snowy at 1101 San Benito Plaza.	[IN:GET_SUNRISE On [SL:DATE_TIME 2010-06-07 23 : 52 : 38.252121 ] , it will be [SL:WEATHER snowy ] at [SL:LOCATION 1101 San Benito Plaza ] . ]
weather	I'm curious about the sunrise time at 314 Farview Gardens during this hot weather.	[IN:GET_SUNRISE I m curious about the sunrise time at [SL:LOCATION 314 Farview Gardens ] during this [SL:WEATHER hot ] weather . ]
weather	On 2008-05-02 07:15:41.512843, the Réaumur weather feels rainy.	[IN:GET_WEATHER On [SL:DATE_TIME 2008-05-02 07 : 15 : 41.512843 ] , the [SL:WEATHER_TEMPERATURE_UNIT Réaumur ] weather feels [SL:WEATHER rainy ] . ]
weather	Could it be drizzly and cloudy outside?	[IN:GET_WEATHER Could it be [SL:WEATHER_ATTRIBUTE drizzly ] and [SL:WEATHER cloudy ] outside ? ]
