,0
0,阿鲁巴岛
1,阿富汗
2,安哥拉
3,安圭拉
4,奥兰群岛
5,阿尔巴尼亚
6,安道尔
7,荷属安地列斯群岛
8,阿联酋
9,阿根廷
10,亚美尼亚
11,阿森松岛
12,美属萨摩亚
13,南极洲
14,法属南部领地
15,安提瓜和巴布达
16,澳大利亚
17,奥地利
18,阿塞拜疆
19,布隆迪
20,比利时
21,贝宁
22,布基纳法索
23,孟加拉国
24,保加利亚
25,巴林
26,巴哈马
27,波斯尼亚和黑塞哥维那
28,白俄罗斯
29,伯利兹
30,百慕大
31,玻利维亚
32,巴西
33,巴巴多斯
34,文莱
35,不丹
36,布韦岛
37,博茨瓦纳
38,中非
39,加拿大
40,科科斯群岛
41,瑞士
42,智利
43,中国
44,科特迪瓦
45,喀麦隆
46,民主刚果
47,刚果
48,库克群岛
49,哥伦比亚
50,科摩罗
51,佛得角
52,哥斯达黎加
53,古巴
54,圣诞岛
55,开曼群岛
56,塞浦路斯
57,捷克
58,德国
59,吉布提
60,多米尼克
61,丹麦
62,多米尼加
63,阿尔及利亚
64,厄瓜多尔
65,埃及
66,厄立特里亚
67,西班牙
68,爱沙尼亚
69,埃塞俄比亚
70,芬兰
71,斐济
72,弗兰克群岛
73,法国
74,法罗群岛
75,密克罗尼西亚联邦
76,加蓬
77,英国
78,格鲁吉亚
79,格恩西岛
80,加纳
81,直布罗陀
82,几内亚
83,瓜德罗普
84,冈比亚
85,几内亚比绍
86,希腊
87,格林纳达
88,格陵兰
89,危地马拉
90,法属圭亚那
91,关岛
92,圭亚那
93,赫德和麦克唐纳群岛
94,洪都拉斯
95,克罗地亚
96,海地
97,匈牙利
98,印度尼西亚
99,曼岛
100,印度
101,英属印度洋领地
102,爱尔兰
103,伊朗
104,伊拉克
105,冰岛
106,以色列
107,意大利
108,牙买加
109,泽西岛
110,约旦
111,日本
112,哈萨克斯坦
113,肯尼亚
114,吉尔吉斯斯坦
115,柬埔寨
116,基里巴斯
117,圣其茨-尼维斯
118,韩国
119,科威特
120,老挝
121,黎巴嫩
122,利比里亚
123,利比亚
124,圣卢西亚
125,列支敦士登
126,斯里兰卡
127,莱索托
128,立陶宛
129,卢森堡
130,拉脱维亚
131,摩洛哥
132,摩纳哥
133,摩尔多瓦
134,马达加斯加
135,马尔代夫
136,墨西哥
137,马绍尔群岛
138,马其顿
139,马里
140,马耳他
141,缅甸
142,蒙古
143,北马里亚纳群岛
144,莫桑比克
145,毛里塔尼亚
146,蒙特塞拉特
147,马提尼克
148,毛里求斯
149,马拉维
150,马来西亚
151,马约特岛
152,纳米比亚
153,新喀里多尼亚
154,尼日尔
155,诺福克
156,尼日利亚
157,尼加拉瓜
158,纽埃
159,荷兰
160,挪威
161,尼泊尔
162,瑙鲁
163,新西兰
164,阿曼
165,巴基斯坦
166,巴拿马
167,皮特凯恩
168,秘鲁
169,菲律宾
170,帕劳
171,巴布亚新几内亚
172,波兰
173,波多黎各
174,朝鲜
175,葡萄牙
176,巴拉圭
177,巴勒斯坦
178,法属玻利尼西亚
179,卡塔尔
180,留尼汪
181,罗马尼亚
182,俄罗斯联邦
183,卢旺达
184,沙特阿拉伯
185,"塞尔维亚,黑山"
186,苏丹
187,塞内加尔
188,新加坡
189,南乔治亚和南桑德威奇群岛
190,圣赫勒拿
191,斯瓦尔巴和扬马廷
192,所罗门群岛
193,塞拉利昂
194,萨尔瓦多
195,圣马力诺
196,索马里
197,圣皮埃尔和密克隆
198,圣多美和普林西比
199,苏里南
200,斯洛伐克
201,斯洛文尼亚
202,瑞典
203,斯威士兰
204,塞舌尔
205,叙利亚
206,特里斯坦达昆哈
207,特克斯和凯克特斯群岛
208,乍得
209,多哥
210,泰国
211,塔吉克斯坦
212,托克劳
213,土库曼斯坦
214,东帝汶
215,汤加
216,特立尼达和多巴哥
217,突尼斯
218,土耳其
219,图瓦卢
220,坦桑尼亚
221,乌干达
222,乌克兰
223,美属外岛
224,乌拉圭
225,美国
226,乌兹别克斯坦
227,梵蒂冈城国
228,圣文森特和格纳丁斯
229,委内瑞拉
230,维尔京群岛，英属
231,维尔京群岛，美属
232,越南
233,瓦努阿图
234,瓦利斯和福图纳
235,萨摩亚
236,也门
237,南非
238,赞比亚
239,津巴布韦
