domain	utterance	semantic_parse
weather	Is it hot during the sunset?	[IN:GET_SUNSET Is it [SL:WEATHER hot ] during the sunset ? ]
weather	Is it sunny at 848 Avocet Lane?	[IN:GET_WEATHER Is it [SL:WEATHER sunny ] at [SL:LOCATION 848 Avocet Lane ] ? ]
weather	Does Los Angeles sit near the coast?	[IN:GET_LOCATION Does [SL:LOCATION_USER Los Angeles ] sit [SLLOCATION_MODIFIER near the coast ] ? ]
weather	Please check for places in London that are 3 kilometers distant.	[IN:GET_LOCATION Please check for places in [SL:LOCATION_USER London ] that are [SL:SEARCH_RADIUS 3 kilometers ] distant . ]
weather	Can we see the sunset at 443 Jessie East Pine when it's windy?	[IN:GET_SUNSET Can we see the sunset at [SL:LOCATION 443 Jessie East Pine ] when it 's [SL:WEATHER windy ] ? ]
weather	I am curious about the weather at 1343 Regent Canyon today.	[IN:GET_WEATHER I am curious about the weather at [SL:LOCATION 1343 Regent Canyon ] today . ]
weather	Under cloudy skies, when does sunset occur at 365 Restani Gardens?	[IN:GET_SUNSET Under [SL:WEATHER cloudy ] skies, when does sunset occur at [SL:LOCATION 365 Restani Gardens ] ? ]
weather	On 1974-11-06 17:46:49.427137, it was hot and cloudy at Gas Mark.	[IN:GET_WEATHER On [SL:DATE_TIME 1974-11-06 17 : 46 : 49.427137 ] , it was [SL:WEATHER hot ] and [SL:WEATHER_ATTRIBUTE cloudy ] at [SL:WEATHER_TEMPERATURE_UNIT Gas Mark ] . ]
weather	If you search around Tokyo 20 kilometers, what do you find?	[IN:GET_LOCATION If you search around [SL:LOCATION_USER Tokyo ] [SL:SEARCH_RADIUS 20 kilometers ] , what do you find ? ]
weather	What’s the snowy weather like at 890 Hemdale Lodge, Delisle?	[IN:GET_WEATHER What’s the [SL:WEATHER_ATTRIBUTE snowy ] weather like at [SL:LOCATION 890 Hemdale Lodge ] , [SL:WEATHER_TEMPERATURE_UNIT Delisle ] ? ]
weather	Can you tell me if it is humid and rainy at 904 Adair Gardens with the temperature in Newton?	[IN:GET_WEATHER Can you tell me if it is [SL:WEATHER_ATTRIBUTE humid ] and [SL:WEATHER rainy ] at [SL:LOCATION 904 Adair Gardens ] with the temperature in [SL:WEATHER_TEMPERATURE_UNIT Newton ] ? ]
